"y" "si"
"1" -0.891598119283784 0.579421568747434
"2" -1.6094379124341 0.432294826728165
"3" -1.34707364796661 0.657111843875951
"4" -1.42711635564015 0.138677409844128
"5" -0.22314355131421 0.223742351714509
"6" -0.776528789498996 0.0830159184782214
"7" -1.6094379124341 0.467495271364365
"8" 0.00995033085316809 0.0631535914954988
"9" -0.462035459596559 0.237642398980853
"10" -1.38629436111989 0.268660692497794
"11" -0.342490308946776 0.113669668851426
"12" 0.444685821261446 0.732311024651073
"13" -0.0202027073175195 0.268251218829113
